Dates,Google,Meta,JPM
2015-10-20,34,97,62.52
2015-10-21,33.59,97.11,62.06
2015-10-22,34.057,99.67,63.19
2015-10-23,35.967,102.19,63.87
2015-10-26,36.556,103.77,63.9
2015-10-27,36.641,103.7,63.64
2015-10-28,36.846,104.2,65.5
2015-10-29,37.243,104.88,65.21
2015-10-30,36.87,101.97,64.25
2015-11-02,37.387,103.31,65.54
2015-11-03,37.441,102.58,65.78
2015-11-04,37.765,103.94,65.85
2015-11-05,38.034,108.76,66.44
2015-11-06,38.08,107.095,68.46
2015-11-09,37.739,106.49,67.39
2015-11-10,37.913,107.91,67.68
2015-11-11,38.263,109.01,67.35
2015-11-12,37.826,108.02,66
2015-11-13,37.004,103.95,65.56
2015-11-16,37.521,104.04,66.51
2015-11-17,37.299,105.13,66.13
2015-11-18,38.001,107.77,67.45
2015-11-19,37.997,106.26,67.66
2015-11-20,38.85,107.32,67.54
2015-11-23,38.835,106.95,66.88
2015-11-24,38.482,105.74,66.78
2015-11-25,38.463,105.41,66.86
2015-11-26,38.463,105.41,66.86
2015-11-27,38.599,105.45,67.17
2015-11-30,38.143,104.24,66.68
2015-12-01,39.189,107.12,67.61
2015-12-02,38.893,106.07,66.66
2015-12-03,38.41,104.38,65.8
2015-12-04,38.961,106.18,67.89
2015-12-07,38.65,105.61,67
2015-12-08,38.757,106.49,65.96
2015-12-09,38.128,104.6,65.46
2015-12-10,38.002,105.42,65.61
2015-12-11,37.521,102.12,64.07
2015-12-14,38.127,104.66,64.27
2015-12-15,38.005,104.55,66.1
2015-12-16,38.83,106.79,67.53
2015-12-17,38.492,106.22,66.28
2015-12-18,37.843,104.04,64.4
2015-12-21,38.04,104.77,65.54
2015-12-22,38.357,105.51,65.68
2015-12-23,38.426,104.63,66.73
2015-12-24,38.292,105.02,66.6
2015-12-25,38.292,105.02,66.6
2015-12-28,39.112,105.93,66.38
2015-12-29,39.698,107.26,67.07
2015-12-30,39.515,106.22,66.59
2015-12-31,38.901,104.66,66.03
2016-01-01,38.901,104.66,66.03
2016-01-04,37.972,102.22,63.62
2016-01-05,38.076,102.73,63.73
2016-01-06,37.967,102.97,62.81
2016-01-07,37.05,97.92,60.27
2016-01-08,36.546,97.33,58.92
2016-01-11,36.654,97.51,58.83
2016-01-12,37.267,99.37,58.96
2016-01-13,35.979,95.44,57.34
2016-01-14,36.57,98.37,58.2
2016-01-15,35.525,94.97,57.04
2016-01-18,35.525,94.97,57.04
2016-01-19,35.954,95.26,57.01
2016-01-20,35.928,94.35,55.51
2016-01-21,36.334,94.16,55.25
2016-01-22,37.273,97.94,56.95
2016-01-25,36.681,97.01,55.66
2016-01-26,36.689,97.34,57.08
2016-01-27,35.879,94.45,57.04
2016-01-28,37.415,109.11,57.28
2016-01-29,38.068,112.21,59.5
2016-02-01,38.539,115.09,58.86
2016-02-02,39.046,114.61,57.03
2016-02-03,37.469,112.69,57.41
2016-02-04,36.502,110.49,58.4
2016-02-05,35.188,104.07,57.75
2016-02-08,35.208,99.75,56.54
2016-02-09,35.051,99.54,56.2
2016-02-10,35.343,101,55.52
2016-02-11,35.318,101.91,53.07
2016-02-12,35.345,102.01,57.49
2016-02-15,35.345,102.01,57.49
2016-02-16,35.882,101.61,58.35
2016-02-17,36.599,105.2,58.77
2016-02-18,35.876,103.47,57.81
2016-02-19,36.106,104.57,57.82
2016-02-22,36.453,107.16,58.57
2016-02-23,35.865,105.46,56.12
2016-02-24,36.045,106.88,56.14
2016-02-25,36.456,108.07,57.01
2016-02-26,36.243,107.92,57.54
2016-02-29,35.861,106.92,56.3
2016-03-01,37.109,109.82,59.2
2016-03-02,36.974,109.95,59.76
2016-03-03,36.58,109.58,59.96
2016-03-04,36.511,108.39,60.05
2016-03-07,35.64,105.73,59.94
2016-03-08,35.677,105.93,58.78
2016-03-09,36.271,107.51,59.12
2016-03-10,36.609,107.32,58.61
2016-03-11,37.244,109.41,59.34
2016-03-14,37.512,109.89,59.12
2016-03-15,37.529,110.67,59.2
2016-03-16,37.868,112.18,58.92
2016-03-17,37.924,111.02,58.75
2016-03-18,37.771,111.45,60.48
2016-03-21,38.108,111.85,60.46
2016-03-22,38.003,112.25,60.24
2016-03-23,37.878,112.54,59.94
2016-03-24,37.742,113.05,59.48
2016-03-25,37.742,113.05,59.48
2016-03-28,37.664,113.69,59.4
2016-03-29,38.295,116.14,59.03
2016-03-30,38.417,114.7,59.71
2016-03-31,38.145,114.1,59.22
2016-04-01,38.484,116.06,59.87
2016-04-04,38.256,112.55,59.2
2016-04-05,37.929,112.22,58.36
2016-04-06,38.404,113.71,58.81
2016-04-07,38.006,113.64,57.32
2016-04-08,37.974,110.63,57.74
2016-04-11,37.877,108.99,58.2
2016-04-12,38.216,110.61,59.28
2016-04-13,38.596,110.51,61.79
2016-04-14,38.77,110.84,62.59
2016-04-15,39,109.64,61.87
2016-04-18,39.384,110.45,62.27
2016-04-19,38.813,112.29,63.32
2016-04-20,38.746,112.42,64.24
2016-04-21,39,113.44,63.6
2016-04-22,36.889,110.56,63.97
2016-04-25,37.111,110.1,63.6
2016-04-26,36.269,108.76,63.93
2016-04-27,36.073,108.89,64.11
2016-04-28,35.253,116.73,63.6
2016-04-29,35.394,117.58,63.2
2016-05-02,35.721,118.57,63.79
2016-05-03,35.422,117.43,62.56
2016-05-04,35.569,118.06,61.57
2016-05-05,35.736,117.81,61.24
2016-05-06,36.259,119.49,61.6
2016-05-09,36.457,119.24,61.21
2016-05-10,36.969,120.5,62.04
2016-05-11,36.527,119.52,61.81
2016-05-12,36.404,120.28,61.77
2016-05-13,36.242,119.81,61.2
2016-05-16,36.515,118.67,61.66
2016-05-17,36.01,117.35,61.66
2016-05-18,36.089,117.65,64.04
2016-05-19,35.765,116.81,63.39
2016-05-20,36.086,117.35,63.51
2016-05-23,35.863,115.97,63.46
